rank,name,location,year,USnewsRate,peer,superRate,gre_verbal,gre_quant,doc_accept,sf_ratio,phd_fac_ratio,total_research,avg_research,enroll,tuition,tuition_out_state,tuition_unit
1,Vanderbilt University,"Nashville, TN",2014,100,4.6,4.7,162,158,5.5,2.6,0.6,40.6,455.9,808,1712,,credit
2,Johns Hopkins University ,"Baltimore, MD",2014,98,3.8,4.8,164,152,24.1,0.3,0,43.3,849.8,1404,1000,,credit
3,Harvard University ,"Cambridge, MA",2014,97,4.4,4.8,163,158,6.2,4.7,0.7,31.1,598.1,945,38480,,year
4,University of Texas-Austin ,"Austin, TX",2014,94,4.1,4.3,159,152,19.4,4.5,0.9,60.9,438.4,1225,8402,16338,year
5,Stanford University ,"Stanford, CA",2014,93,4.7,4.9,161,156,6.4,3.9,0.5,21,437.2,380,41250,,year
6,"Teachers College, Columbia University ","New York, NY",2014,90,4.4,4.7,158,153,19.3,5.3,1.6,47.5,322.9,5034,1286,,credit
7,University of Pennsylvania ,"Philadelphia, PA",2014,88,4.1,4.2,162,156,6.3,1.9,0.3,30.4,468,1222,42224,,year
8,University of California-Los Angeles ,"Los Angeles, CA",2014,87,4.2,4.5,158,152,29,9.1,1.8,31.3,696.2,795,11220,15102,year
8,University of Oregon ,"Eugene, OR",2014,87,3.5,3.8,159,152,17.1,3.6,0.7,34.8,965.8,677,13230,20898,year
10,University of Wisconsin-Madison ,"Madison, WI",2014,85,4.3,4.5,157,153,29.1,4.2,1.1,35.5,358.4,1010,11839,25166,year
11,University of Michigan-Ann Arbor ,"Ann Arbor, MI",2014,83,4.4,4.3,157,154,21.5,5.1,0.5,22,467.2,473,19616,39666,year
12,University of California-Berkeley ,"Berkeley, CA",2014,81,4.3,4.4,159,152,16.9,8.3,1.2,16.1,502.6,344,11220,26322,year
12,University of Washington ,"Seattle, WA",2014,81,4,4,155,152,38.3,5.2,1.3,39.4,729.5,971,13623,26241,year
14,Northwestern University ,"Evanston, IL",2014,80,3.9,4.5,161,153,8.9,2.1,0.2,12.5,403.1,378,43380,,year
15,Michigan State University ,"East Lansing, MI",2014,78,4.3,4.2,156,151,37.1,5.2,0.6,32.3,301.8,2051,630,1206,credit
16,Ohio State University ,"Columbus, OH",2014,77,3.9,4.3,156,153,34,2,0.4,40.5,235.2,1161,11336,28648,year
17,New York University,"New York, NY",2014,75,4,4.2,161,153,8.2,3,0.8,23.9,178.1,3451,32808,,year
