expend,area,region
184.33,Rural,5
62.73,Rural,5
119.13,Rural,5
76.61,Rural,5
97.46,Rural,5
132.09,Rural,5
99.86,Rural,5
79.97,Rural,5
88.6,Rural,5
161.03,Rural,5
916.19,Rural,5
71.58,Rural,5
123.74,Rural,5
71.96,Rural,5
155.26,Rural,5
237.95,Rural,5
146.79,Rural,5
62.22,Rural,5
152.44,Rural,5
183.42,Rural,5
37.81,Rural,5
72.08,Rural,5
78.69,Rural,5
78.32,Rural,5
111.89,Rural,5
107.64,Rural,5
99.29,Rural,5
287.67,Rural,5
191.6,Rural,5
92.02,Rural,5
89.77,Rural,5
73.55,Rural,5
58.68,Rural,5
90.33,Rural,5
131.41,Rural,5
92.87,Rural,5
106.55,Rural,5
173.68,Rural,5
258.55,Rural,5
77.36,Rural,5
123.24,Rural,5
127.46,Rural,5
162.81,Rural,5
79.38,Rural,5
61.34,Rural,5
83.82,Rural,5
241.34,Rural,5
54.35,Rural,5
131.13,Rural,5
200.78,Rural,5
111.4,Rural,5
292.41,Rural,5
200.26,Rural,5
90.08,Rural,5
132.78,Rural,5
181.1,Rural,5
65.45,Rural,5
88.28,Rural,5
131.02,Rural,5
210.87,Rural,5
111.3,Rural,5
61.3,Rural,5
138.37,Rural,5
129.92,Rural,5
152.53,Rural,5
126.33,Rural,5
156.19,Rural,5
91.12,Rural,5
622.45,Rural,5
84.86,Rural,5
150.61,Rural,5
87.13,Rural,5
161.55,Rural,5
64.33,Rural,5
219.23,Rural,5
95.03,Rural,5
149.01,Rural,5
101.07,Rural,5
65.74,Rural,5
64.52,Rural,5
97.51,Rural,5
123.02,Rural,5
285.94,Rural,5
343.7,Rural,5
123.89,Rural,5
102.27,Rural,5
223.42,Rural,5
56.19,Rural,5
109.03,Rural,5
131.02,Rural,5
68.83,Rural,5
62.47,Rural,5
38.15,Rural,5
86.75,Rural,5
204.64,Rural,5
33.53,Rural,5
123.35,Rural,5
83.2,Rural,5
117.77,Rural,5
119.23,Rural,5
62.13,Rural,5
115.99,Rural,5
173.22,Rural,5
219.25,Rural,5
112.04,Rural,5
73.65,Rural,5
113.03,Rural,5
59.32,Rural,5
85.94,Rural,5
109.39,Rural,5
284.16,Rural,5
126.49,Rural,5
183.4,Rural,5
88.75,Rural,5
139.83,Rural,5
139.75,Rural,5
121.17,Rural,5
98.17,Rural,5
124.5,Rural,5
290.36,Rural,5
60.75,Rural,5
94.48,Rural,5
78.71,Rural,5
50.22,Rural,5
101.29,Rural,5
67.16,Rural,5
114.02,Rural,5
142.39,Rural,5
123.95,Rural,5
150.72,Rural,5
113.13,Rural,5
91.57,Rural,5
54.2,Rural,5
141.11,Rural,5
168.66,Rural,5
145.28,Rural,5
129.73,Rural,5
94.32,Rural,5
141.78,Rural,5
152.57,Rural,5
82.7,Rural,5
69.57,Rural,5
56.75,Rural,5
105.11,Rural,5
179.6,Rural,5
92.74,Rural,5
181.76,Rural,5
60.5,Rural,5
50.89,Rural,5
125.79,Rural,5
227.63,Rural,5
121.48,Rural,5
115.72,Rural,5
111.5,Rural,5
136.86,Rural,5
254.08,Rural,5
124.52,Rural,5
88.42,Rural,5
